时间	开盘	最高	最低	收盘	成交量	MA.MA1	MA.MA2	MA.MA3	MA.MA4	VOL-TDX.VVOL	VOL-TDX.	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	MACD.DIF	MACD.DEA	MACD.MACD	
 2016/12/14	   13.07	   13.32	   12.88	   13.01	       10659895	           	           	           	           	           	       0.00	  106598.95	           	           	       0.00	       0.00	       0.00	
 2016/12/15	   13.03	   13.46	   12.94	   13.27	       12010992	           	           	           	           	           	       0.00	  120109.92	           	           	       0.02	       0.00	       0.03	
 2016/12/16	   13.29	   13.39	   13.09	   13.11	       10981612	           	           	           	           	           	       0.00	  109816.12	           	           	       0.02	       0.01	       0.03	
 2016/12/19	   13.10	   13.23	   13.05	   13.16	        7822704	           	           	           	           	           	       0.00	   78227.04	           	           	       0.03	       0.01	       0.04	
 2016/12/20	   13.16	   13.17	   12.81	   13.05	       10909553	      13.12	           	           	           	           	       0.00	  109095.53	  104769.52	           	       0.03	       0.02	       0.02	
 2016/12/21	   13.05	   13.68	   13.05	   13.67	       23211852	      13.25	           	           	           	           	       0.00	  232118.52	  129873.42	           	       0.07	       0.03	       0.09	
 2016/12/22	   13.61	   13.79	   13.52	   13.70	       10477654	      13.34	           	           	           	           	       0.00	  104776.54	  126806.75	           	       0.11	       0.04	       0.13	
 2016/12/23	   13.64	   13.80	   13.55	   13.60	        9942295	      13.44	           	           	           	           	       0.00	   99422.95	  124728.12	           	       0.13	       0.06	       0.14	
 2016/12/26	   13.64	   13.77	   13.27	   13.57	       11980311	      13.52	           	           	           	           	       0.00	  119803.11	  133043.33	           	       0.14	       0.08	       0.13	
 2016/12/27	   13.56	   13.75	   13.46	   13.53	        9354157	      13.61	      13.37	           	           	           	       0.00	   93541.57	  129932.54	  117351.02	       0.15	       0.09	       0.11	
 2016/12/28	   13.59	   13.93	   13.49	   13.88	       11555703	      13.66	      13.45	           	           	           	       0.00	  115557.03	  106620.24	  118246.84	       0.18	       0.11	       0.14	
 2016/12/29	   13.76	   13.92	   13.55	   13.59	       11378431	      13.63	      13.49	           	           	           	       0.00	  113784.31	  108421.80	  117614.27	       0.17	       0.12	       0.11	
 2016/12/30	   13.62	   13.69	   13.36	   13.51	       11938414	      13.62	      13.53	           	           	           	       0.00	  119384.14	  112414.03	  118571.08	       0.16	       0.13	       0.07	
 2017/01/03	   13.51	   13.88	   13.49	   13.80	       12913145	      13.66	      13.59	           	           	           	       0.00	  129131.45	  114279.70	  123661.52	       0.18	       0.14	       0.08	
 2017/01/04	   13.79	   14.04	   13.64	   13.85	       12807403	      13.73	      13.67	           	           	           	       0.00	  128074.03	  121186.20	  125559.37	       0.19	       0.15	       0.08	
 2017/01/05	   13.82	   14.78	   13.73	   14.45	       36262512	      13.84	      13.75	           	           	           	       0.00	  362625.13	  170599.81	  138610.03	       0.25	       0.17	       0.15	
 2017/01/06	   14.77	   15.17	   14.32	   14.35	       50051336	      13.99	      13.81	           	           	           	       0.00	  500513.38	  247945.63	  178183.70	       0.28	       0.19	       0.18	
 2017/01/09	   14.17	   15.32	   14.17	   15.12	       54072164	      14.31	      13.97	           	           	           	       0.00	  540721.63	  332213.13	  222313.58	       0.36	       0.23	       0.28	
 2017/01/10	   14.94	   15.12	   14.61	   14.71	       31346404	      14.50	      14.08	           	           	           	       0.00	  313464.03	  369079.63	  241679.67	       0.39	       0.26	       0.27	
 2017/01/11	   14.78	   15.04	   14.48	   14.52	       19367856	      14.63	      14.18	      13.77	           	           	       0.00	  193678.56	  382200.53	  251693.38	       0.39	       0.29	       0.22	
 2017/01/12	   14.45	   14.59	   14.24	   14.31	       15961671	      14.60	      14.22	      13.84	           	           	       0.00	  159616.70	  341598.88	  256099.34	       0.38	       0.30	       0.14	
 2017/01/13	   14.32	   14.68	   14.04	   14.19	       17417880	      14.57	      14.28	      13.88	           	           	       0.00	  174178.80	  276331.94	  262138.78	       0.35	       0.31	       0.07	
 2017/01/16	   14.23	   14.34	   12.86	   13.78	       26950544	      14.30	      14.31	      13.92	           	           	       0.00	  269505.44	  222088.70	  277150.91	       0.29	       0.31	      -0.04	
 2017/01/17	   13.55	   14.05	   13.54	   13.98	       14336407	      14.16	      14.33	      13.96	           	           	       0.00	  143364.06	  188068.72	  278574.19	       0.25	       0.30	      -0.09	
 2017/01/18	   13.94	   13.99	   13.77	   13.91	        8682620	      14.03	      14.33	      14.00	           	           	       0.00	   86826.20	  166698.23	  274449.41	       0.22	       0.28	      -0.12	
 2017/01/19	   13.80	   13.91	   13.70	   13.72	        6446137	      13.92	      14.26	      14.00	           	           	       0.00	   64461.37	  147667.17	  244633.02	       0.17	       0.26	      -0.17	
 2017/01/20	   13.69	   14.06	   13.65	   13.84	        9103464	      13.85	      14.21	      14.01	           	           	       0.00	   91034.64	  131038.34	  203685.14	       0.15	       0.24	      -0.18	
 2017/01/23	   14.04	   14.41	   14.04	   14.40	       17175272	      13.97	      14.14	      14.05	           	           	       0.00	  171752.72	  111487.80	  166788.25	       0.17	       0.22	      -0.11	
 2017/01/24	   14.61	   14.78	   14.44	   14.46	       15645933	      14.07	      14.11	      14.10	           	           	       0.00	  156459.33	  114106.85	  151087.78	       0.19	       0.22	      -0.06	
 2017/01/25	   14.46	   14.56	   14.29	   14.42	        7795163	      14.17	      14.10	      14.14	           	           	       0.00	   77951.63	  112331.94	  139515.09	       0.20	       0.21	      -0.03	
 2017/01/26	   14.53	   14.61	   14.37	   14.53	        7186935	      14.33	      14.12	      14.17	           	           	       0.00	   71869.35	  113813.53	  130740.35	       0.21	       0.21	      -0.00	
 2017/02/03	   14.50	   14.50	   13.86	   14.25	       17919584	      14.41	      14.13	      14.20	           	           	       0.00	  179195.84	  131445.78	  131242.06	       0.20	       0.21	      -0.02	
 2017/02/06	   14.09	   14.61	   14.02	   14.58	       14799263	      14.45	      14.21	      14.26	           	           	       0.00	  147992.63	  126693.76	  119090.78	       0.21	       0.21	       0.00	
 2017/02/07	   14.49	   14.72	   14.31	   14.39	       12501530	      14.43	      14.25	      14.29	           	           	       0.00	  125015.30	  120404.95	  117255.90	       0.21	       0.21	      -0.01	
 2017/02/08	   14.39	   14.58	   14.08	   14.48	       13793580	      14.45	      14.31	      14.32	           	           	       0.00	  137935.80	  132401.78	  122366.86	       0.20	       0.21	      -0.01	
 2017/02/09	   14.43	   14.76	   14.32	   14.75	       19952076	      14.49	      14.41	      14.33	           	           	       0.00	  199520.77	  157932.06	  135872.80	       0.22	       0.21	       0.02	
 2017/02/10	   15.11	   15.14	   14.63	   14.66	       31994620	      14.57	      14.49	      14.35	           	           	       0.00	  319946.19	  186082.14	  158763.95	       0.23	       0.21	       0.03	
 2017/02/13	   14.57	   14.67	   14.33	   14.39	       17562872	      14.53	      14.49	      14.31	           	           	       0.00	  175628.72	  191609.36	  159151.56	       0.21	       0.21	      -0.01	
 2017/02/14	   14.35	   14.53	   14.25	   14.52	       13135366	      14.56	      14.50	      14.30	           	           	       0.00	  131353.66	  192877.03	  156640.98	       0.20	       0.21	      -0.02	
 2017/02/15	   14.42	   14.49	   13.99	   14.02	       24881142	      14.47	      14.46	      14.28	           	           	       0.00	  248811.42	  215052.16	  173726.97	       0.15	       0.20	      -0.09	
 2017/02/16	   13.98	   14.14	   13.94	   14.05	       11103341	      14.33	      14.41	      14.27	           	           	       0.00	  111033.41	  197354.67	  177643.38	       0.11	       0.18	      -0.14	
 2017/02/17	   14.06	   14.19	   13.95	   14.10	       10508192	      14.22	      14.39	      14.26	           	           	       0.00	  105081.92	  154381.83	  170231.98	       0.09	       0.16	      -0.15	
 2017/02/20	   14.10	   14.31	   13.94	   14.24	       13939144	      14.19	      14.36	      14.28	           	           	       0.00	  139391.44	  147134.38	  169371.86	       0.08	       0.15	      -0.14	
 2017/02/21	   14.26	   14.26	   14.07	   14.15	        8832910	      14.11	      14.34	      14.29	           	           	       0.00	   88329.10	  138529.45	  165703.23	       0.06	       0.13	      -0.14	
 2017/02/22	   14.16	   14.19	   14.04	   14.08	        8936865	      14.12	      14.30	      14.30	           	           	       0.00	   89368.65	  106640.91	  160846.53	       0.04	       0.11	      -0.14	
